numerical__SGPA_Sem1,numerical__SGPA_Sem2,numerical__SGPA_Sem3,numerical__SGPA_Sem4,numerical__SGPA_Sem5,numerical__SGPA_Sem6,numerical__SGPA_Sem7,numerical__SGPA_Sem8,numerical__CGPA,numerical__AttendancePercent,numerical__Internships,numerical__Projects,numerical__Workshops,numerical__Certifications,numerical__Publications,numerical__AptitudeTestScore,numerical__SoftSkillsRating,numerical__CodingTestScore,numerical__MockInterviewScore,numerical__ExtraCurricular,numerical__IsAnomaly,categorical__Gender_Female,categorical__Gender_Male,categorical__City_Ahmedabad,categorical__City_Bangalore,categorical__City_Chennai,categorical__City_Delhi,categorical__City_Hyderabad,categorical__City_Jaipur,categorical__City_Kochi,categorical__City_Kolkata,categorical__City_Mumbai,categorical__City_Pune,categorical__CollegeTier_Tier1,categorical__CollegeTier_Tier2,categorical__CollegeTier_Tier3,categorical__Stream_CS,categorical__Stream_Civil,categorical__Stream_ECE,categorical__Stream_EE,categorical__Stream_IT,categorical__Stream_Mechanical,categorical__Specialisation_AI,categorical__Specialisation_DataScience,categorical__Specialisation_Embedded,categorical__Specialisation_Networking,categorical__Hostel_No,categorical__Hostel_Yes,categorical__HistoryOfBacklogs_No,categorical__HistoryOfBacklogs_Yes,categorical__CGPA_Tier_High,categorical__CGPA_Tier_Low,categorical__CGPA_Tier_Mid,IsAnomaly,PlacementStatus
0.4917,0.5917,0.5433,0.5633,0.5833,0.5383,0.62,0.6467,0.5917,0.86,0.3333,0.8,1.0,0.8,1.0,0.7382,0.65,0.8476,0.5913,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1
0.335,0.285,0.2433,0.3017,0.2483,0.2,0.2883,0.24,0.2783,0.096,0.0,0.2,0.6667,0.2,0.0,0.1706,0.35,0.224,0.2608,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0
0.2367,0.1433,0.1683,0.3267,0.1667,0.265,0.1967,0.1567,0.22,0.344,0.0,0.2,0.0,0.0,0.0,0.1838,0.225,0.2263,0.2584,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0
1.0,1.0,1.0,1.0,1.0,1.0,0.9567,1.0,0.9867,0.572,0.3333,0.8,0.6667,0.6,0.5,0.5574,0.55,0.8603,0.8522,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1
0.4617,0.4683,0.3967,0.4167,0.4583,0.435,0.5583,0.5867,0.4483,0.736,0.3333,0.8,1.0,0.8,0.5,0.9338,0.6,0.597,0.6863,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1
0.8533,0.9317,0.795,0.7183,0.8683,0.835,0.8917,0.86,0.8417,1.0,0.6667,0.4,1.0,0.4,0.5,0.7221,0.9,0.8291,0.5337,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1
0.5617,0.525,0.5683,0.5667,0.6433,0.6333,0.5967,0.6333,0.5817,0.762,0.3333,0.8,0.6667,0.6,0.5,0.7691,0.675,0.5658,0.7332,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1
0.2417,0.1683,0.1383,0.1283,0.1317,0.2967,0.1533,0.1217,0.1717,0.518,0.0,0.2,0.0,0.4,0.5,0.425,0.35,0.5115,0.3846,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0
0.495,0.4217,0.495,0.39,0.515,0.52,0.4183,0.4967,0.4733,0.328,0.0,0.4,0.3333,0.2,0.0,0.5574,0.075,0.5139,0.4892,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0
0.3817,0.4467,0.455,0.4117,0.4667,0.5083,0.5,0.4917,0.4733,0.894,0.3333,0.4,0.6667,0.6,0.5,0.7574,0.725,0.5797,0.6707,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1
0.485,0.45,0.5733,0.49,0.57,0.46,0.5583,0.5233,0.5167,0.506,0.3333,0.2,0.3333,0.4,0.5,0.6353,0.35,0.5081,0.345,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1
0.56,0.435,0.5783,0.505,0.5967,0.5117,0.4883,0.595,0.5283,0.784,0.6667,0.4,0.6667,0.8,0.5,0.875,0.925,0.7737,0.5012,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1
0.765,0.7267,0.7683,0.7717,0.81,0.7433,0.8667,0.7367,0.7767,0.732,0.6667,0.6,1.0,0.8,0.5,0.6588,0.875,0.8072,0.637,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1
0.5583,0.6267,0.51,0.5967,0.5317,0.555,0.6133,0.615,0.5567,0.422,0.3333,0.4,0.6667,0.4,0.0,0.6926,0.525,0.4238,0.4567,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1
0.8933,0.8533,0.8983,0.9867,0.8733,0.9617,0.9933,0.9733,0.9333,0.224,0.0,0.4,0.3333,0.4,0.0,0.5721,0.475,0.4469,0.4964,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1
0.125,0.0317,0.0967,0.245,0.1767,0.19,0.18,0.2017,0.165,0.588,0.3333,0.4,1.0,0.6,0.5,0.7529,0.55,0.5439,0.5216,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0
0.8583,0.89,0.82,0.82,0.8683,0.92,0.8817,0.84,0.9033,0.94,0.6667,0.6,1.0,0.8,1.0,0.7118,0.65,0.8487,0.7476,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1
0.3467,0.3433,0.3217,0.36,0.37,0.3983,0.4333,0.345,0.375,0.408,0.3333,0.4,1.0,0.4,0.0,0.4603,0.45,0.5115,0.5216,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0
0.9467,0.835,1.0,0.9583,0.8333,0.845,0.9517,0.9117,0.9167,0.602,0.3333,0.4,0.6667,0.2,0.0,0.7529,0.35,0.4654,0.4555,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1
0.99,0.975,0.88,1.0,1.0,1.0,1.0,1.0,0.9767,0.846,1.0,0.2,0.6667,0.6,1.0,0.5574,0.95,0.5416,0.8822,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1
0.395,0.27,0.3467,0.3067,0.2617,0.375,0.2833,0.37,0.3367,0.42,0.3333,0.4,0.3333,0.2,0.5,0.5691,0.5,0.5531,0.5397,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,1
0.8767,0.8717,0.87,0.7683,0.8217,0.8583,0.795,0.9217,0.855,0.828,0.6667,0.8,0.6667,0.8,1.0,0.7809,0.55,0.8984,0.7332,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1
0.0867,0.01,0.0517,0.0267,0.0083,0.0517,0.0,0.0017,0.0133,0.15,0.0,0.0,0.0,0.2,0.5,0.5574,0.275,0.1617,0.2248,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0
0.4283,0.4233,0.4183,0.405,0.3683,0.5683,0.3233,0.38,0.4,0.266,0.3333,0.0,0.3333,0.0,0.0,0.175,0.225,0.1282,0.2272,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0
0.0733,0.0617,0.1333,0.01,0.0267,0.0817,0.02,0.095,0.065,0.316,0.0,0.2,0.3333,0.2,0.0,0.1588,0.175,0.1559,0.1959,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0
0.71,0.7083,0.6167,0.6933,0.625,0.6217,0.7183,0.7233,0.6483,0.966,0.6667,0.6,1.0,0.4,1.0,0.6691,0.675,0.5115,0.8618,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1
0.945,0.9667,0.9817,0.9683,0.9633,1.0,0.9767,1.0,0.9967,0.776,1.0,0.6,0.6667,0.8,1.0,0.6868,0.775,0.6663,0.6743,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1
0.585,0.6517,0.5583,0.635,0.6183,0.61,0.585,0.5917,0.61,0.464,0.3333,0.4,0.6667,0.2,0.0,0.4265,0.55,0.4492,0.3894,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1
0.3483,0.2933,0.34,0.27,0.3617,0.355,0.3467,0.3617,0.3317,0.592,0.3333,0.2,0.6667,0.4,0.5,0.5824,0.6,0.3614,0.4663,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0
0.5517,0.5733,0.6567,0.7233,0.5867,0.6067,0.6633,0.6767,0.6517,0.796,0.6667,0.6,1.0,0.8,0.5,0.9662,0.65,0.5589,0.6767,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1
0.2283,0.1883,0.205,0.235,0.185,0.2633,0.2567,0.2767,0.215,0.536,0.3333,0.4,0.3333,0.6,0.5,0.3706,0.375,0.4273,0.47,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1
0.3483,0.43,0.5467,0.39,0.435,0.3967,0.4133,0.4233,0.4133,0.908,0.6667,0.8,0.6667,0.8,0.5,0.9191,0.725,0.8395,0.887,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,1
0.4017,0.5217,0.5583,0.49,0.4867,0.4133,0.4817,0.4333,0.4733,0.398,0.0,0.0,0.0,0.0,0.0,0.2426,0.0,0.1201,0.1911,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0
1.0,0.9283,1.0,0.9733,0.9483,1.0,1.0,0.925,0.965,0.806,0.6667,0.8,1.0,0.6,1.0,0.5147,0.625,0.9215,0.5084,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1
0.3133,0.3567,0.3783,0.4183,0.3833,0.195,0.34,0.3667,0.3417,0.49,0.3333,0.4,0.3333,0.4,0.0,0.4397,0.6,0.664,0.3942,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,1
0.9817,0.94,0.865,0.8017,0.8917,0.8317,0.9083,0.8267,0.83,0.55,0.3333,0.2,0.3333,0.4,0.0,0.6485,0.75,0.5127,0.4663,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1
0.2483,0.2617,0.3,0.265,0.3,0.27,0.265,0.2933,0.2667,0.416,0.3333,0.2,0.6667,0.4,0.5,0.4088,0.65,0.418,0.4002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,1
0.5,0.585,0.6283,0.62,0.6367,0.5567,0.6333,0.76,0.6217,0.368,0.6667,0.4,0.6667,0.4,0.5,0.5574,0.75,0.8464,0.7272,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1
0.5367,0.5017,0.5717,0.44,0.35,0.4333,0.475,0.3683,0.4417,0.082,0.0,0.0,0.3333,0.0,0.0,0.5574,0.325,0.0589,0.1899,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0
0.3983,0.44,0.56,0.43,0.365,0.4333,0.435,0.4733,0.4383,0.462,0.3333,0.6,0.6667,0.2,0.5,0.6044,0.65,0.5312,0.595,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1
0.0583,0.0433,0.0717,0.095,0.055,0.005,0.075,0.06,0.0667,0.26,0.3333,0.0,0.0,0.2,0.0,0.1926,0.025,0.1917,0.1875,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0
0.2883,0.2983,0.2617,0.335,0.2733,0.3117,0.2783,0.2517,0.2817,0.236,0.0,0.2,0.3333,0.0,0.0,0.5574,0.2,0.1305,0.2728,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0
0.4617,0.4533,0.4333,0.4233,0.5217,0.465,0.4167,0.5,0.4683,0.298,0.0,0.0,0.3333,0.4,0.0,0.6015,0.525,0.5658,0.4736,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0
0.39,0.495,0.485,0.4233,0.44,0.41,0.4433,0.4533,0.4433,0.234,0.3333,0.2,0.0,0.0,0.5,0.2265,0.55,0.1651,0.2163,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0
1.0,1.0,1.0,0.9683,1.0,1.0,0.9933,1.0,1.0,0.96,0.3333,0.6,0.6667,0.6,1.0,0.6868,0.9,0.8453,0.6731,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1
